
districtName                          stateName
Sehore                                Madhya Pradesh
Seoni                                 Madhya Pradesh
Shahdol                               Madhya Pradesh
Shajapur                              Madhya Pradesh
Sheopur                               Madhya Pradesh
Shivpuri                              Madhya Pradesh
Siddharth Nagar                       Madhya Pradesh
Sidhi                                 Madhya Pradesh
Singrauli                             Madhya Pradesh
Tikamgarh                             Madhya Pradesh
Ujjain                                Madhya Pradesh
Umaria                                Madhya Pradesh
Vidisha                               Madhya Pradesh
Ahmednagar                            Maharashtra
Akola                                 Maharashtra
Amravati                              Maharashtra
Beed                                  Maharashtra
Bhandara                              Maharashtra
Buldhana                              Maharashtra
Chandrapur                            Maharashtra
Dhule                                 Maharashtra
Gadchiroli                            Maharashtra
Gondia                                Maharashtra
Hingoli                               Maharashtra
Jalgaon                               Maharashtra
Jalna                                 Maharashtra
Kolhapur                              Maharashtra
Latur                                 Maharashtra
Nagpur                                Maharashtra
Nanded                                Maharashtra
Nandurbar                             Maharashtra
Nashik                                Maharashtra
Palghar                               Maharashtra
Parbhani                              Maharashtra
Pune                                  Maharashtra
Raigad                                Maharashtra
Ratnagiri                             Maharashtra
Sangli                                Maharashtra
Satara                                Maharashtra
Sindhudurg                            Maharashtra
Solapur                               Maharashtra
Thane                                 Maharashtra
Wardha                                Maharashtra
Washim                                Maharashtra
Yavatmal                              Maharashtra
Bishnupur                             Manipur
Chandel                               Manipur
Churachandpur                         Manipur
Imphal East                           Manipur
Imphal West                           Manipur
Jiribam                               Manipur
Kakching                              Manipur
Kamjong                               Manipur
Kangpokpi                             Manipur
Noney                                 Manipur
Pherzawl                              Manipur
Senapati                              Manipur
Tamenglong                            Manipur
Tengnoupal                            Manipur
Thoubal                               Manipur
Ukhrul                                Manipur
East Garo Hills                       Meghalaya
East Jaintia Hills                    Meghalaya
East Khasi Hills                      Meghalaya
Eastern West Khasi Hills              Meghalaya
North Garo Hills                      Meghalaya
Ri Bhoi                               Meghalaya
South Garo Hills                      Meghalaya
South West Garo Hills                 Meghalaya
South West Khasi Hills                Meghalaya
West Garo Hills                       Meghalaya
West Jaintia Hills                    Meghalaya
West Khasi Hills                      Meghalaya
Aizawl                                Mizoram
Champhai                              Mizoram
Hnahthial                             Mizoram
Khawzawl                              Mizoram
Kolasib                               Mizoram
Lawngtlai                             Mizoram
Lunglei                               Mizoram
Mamit                                 Mizoram
Saitual                               Mizoram
Serchhip                              Mizoram
Siaha                                 Mizoram
Dimapur                               Nagaland
Kiphire                               Nagaland
Kohima                                Nagaland
Longleng                              Nagaland
Mokokchung                            Nagaland
Mon                                   Nagaland
Peren                                 Nagaland
Phek                                  Nagaland
Tuensang                              Nagaland
Wokha                                 Nagaland
Zunheboto                             Nagaland
Angul                                 Odisha
Baleshwar                             Odisha
Bargarh                               Odisha
Bhadrak                               Odisha
Bolangir                              Odisha
Boudh                                 Odisha
Cuttack                               Odisha
Deogarh                               Odisha
Dhenkanal                             Odisha
Gajapati                              Odisha
Ganjam                                Odisha
Jagatsinghapur                        Odisha
Jajpur                                Odisha
Jharsuguda                            Odisha
Kalahandi                             Odisha
Kandhamal                             Odisha
Kendrapara                            Odisha
Kendujhar                             Odisha
Khordha                               Odisha
Koraput                               Odisha
Malkangiri                            Odisha
Mayurbhanj                            Odisha
Nabarangapur                          Odisha
Nayagarh                              Odisha
Nuapada                               Odisha
Puri                                  Odisha
Rayagada                              Odisha
Sambalpur                             Odisha
Sonepur                               Odisha
Sundargarh                            Odisha
Karaikal                              Puducherry
Pondicherry                           Puducherry
Amritsar                              Punjab
Barnala                               Punjab
Bhatinda                              Punjab
Faridkot                              Punjab
Fatehgarh Sahib                       Punjab
Fazilka                               Punjab
Ferozepur                             Punjab
Gurdaspur                             Punjab
Hoshiarpur                            Punjab
Jalandhar                             Punjab
Kapurthala                            Punjab
Ludhiana                              Punjab
Malerkotla                            Punjab
Mansa                                 Punjab
Moga                                  Punjab
Mukatsar                              Punjab
Nawanshahr                            Punjab
Pathankot                             Punjab
Patiala                               Punjab
Ropar                                 Punjab
Sangrur                               Punjab
Sas Nagar Mohali                      Punjab
Tarn Taran                            Punjab
Ajmer                                 Rajasthan
Alwar                                 Rajasthan
Banswara                              Rajasthan
Baran                                 Rajasthan
Barmer                                Rajasthan
Bharatpur                             Rajasthan
Bhilwara                              Rajasthan
Bikaner                               Rajasthan
Bundi                                 Rajasthan
Chittorgarh                           Rajasthan
Churu                                 Rajasthan
Dausa                                 Rajasthan
Dholpur                               Rajasthan
Dungarpur                             Rajasthan
Hanumangarh                           Rajasthan
Jaipur                                Rajasthan
Jaisalmer                             Rajasthan
Jalore                                Rajasthan
Jhalawar                              Rajasthan
Jhunjhunu                             Rajasthan
Jodhpur                               Rajasthan
Karauli                               Rajasthan
Kota                                  Rajasthan
Nagaur                                Rajasthan
Pali                                  Rajasthan
Pratapgarh                            Rajasthan
Rajsamand                             Rajasthan
Sawai Madhopur                        Rajasthan
Sikar                                 Rajasthan
Sirohi                                Rajasthan
Sri Ganganagar                        Rajasthan
Tonk                                  Rajasthan
Udaipur                               Rajasthan
Gangtok District                      Sikkim
Gyalshing District                    Sikkim
Mangan District                       Sikkim
Namchi District                       Sikkim
Pakyong                               Sikkim
Soreng                                Sikkim
Ariyalur                              Tamil Nadu
Chengalpattu                          Tamil Nadu
Coimbatore                            Tamil Nadu
Cuddalore                             Tamil Nadu
Dharmapuri                            Tamil Nadu
Dindigul                              Tamil Nadu
Erode                                 Tamil Nadu
Kallakurichi                          Tamil Nadu
Kanchipuram                           Tamil Nadu
Kanniyakumari                         Tamil Nadu
Karur                                 Tamil Nadu
Krishnagiri                           Tamil Nadu
Madurai                               Tamil Nadu
Mayiladuthurai                        Tamil Nadu
Nagapattinam                          Tamil Nadu
Namakkal                              Tamil Nadu
Perambalur                            Tamil Nadu
Pudukkottai                           Tamil Nadu
Ramanathapuram                        Tamil Nadu
Ranipet                               Tamil Nadu
Salem                                 Tamil Nadu
Sivagangai                            Tamil Nadu
Tenkasi                               Tamil Nadu
Thanjavur                             Tamil Nadu
The Nilgiris                          Tamil Nadu
Theni                                 Tamil Nadu
Thoothukkudi                          Tamil Nadu
Tiruchirappalli                       Tamil Nadu
Tirunelveli                           Tamil Nadu
Tirupathur                            Tamil Nadu
Tiruppur                              Tamil Nadu
Tiruvallur                            Tamil Nadu
Tiruvannamalai                        Tamil Nadu
Tiruvarur                             Tamil Nadu
Vellore                               Tamil Nadu
Villupuram                            Tamil Nadu
Virudhunagar                          Tamil Nadu
Adilabad                              Telangana
Bhadradri Kothagudem                  Telangana
Hanumakonda                           Telangana
Jagtial                               Telangana
Jangaon                               Telangana
Jogulamba Gadwal                      Telangana
Kamareddy                             Telangana
Karimnagar                            Telangana
Khammam                               Telangana
Kumram Bheem(asifabad)                Telangana
Mahabubabad                           Telangana
Mahabubnagar                          Telangana
Mancherial                            Telangana
Medak                                 Telangana
Medchal                               Telangana
Mulugu                                Telangana
Nagarkurnool                          Telangana
Nalgonda                              Telangana
Narayanpet                            Telangana
Nirmal                                Telangana
Nizamabad                             Telangana
Peddapalli                            Telangana
Rajanna Sirsilla                      Telangana
Rangareddy                            Telangana
Sangareddy                            Telangana
Siddipet                              Telangana
Suryapet                              Telangana
Vikarabad                             Telangana
Wanaparthy                            Telangana
Warangal                              Telangana
Yadadri Bhuvanagiri                   Telangana
Dhalai                                Tripura
Gomati                                Tripura
Khowai                                Tripura
North Tripura                         Tripura
Sepahijala                            Tripura
South Tripura                         Tripura
West Tripura                          Tripura
Agra                                  Uttar Pradesh
Aligarh                               Uttar Pradesh
Ambedkar Nagar                        Uttar Pradesh
Amethi                                Uttar Pradesh
Amroha                                Uttar Pradesh
Auraiya                               Uttar Pradesh
Ayodhya                               Uttar Pradesh
Azamgarh                              Uttar Pradesh
Baghpat                               Uttar Pradesh
Bahraich                              Uttar Pradesh
Ballia                                Uttar Pradesh
Banda                                 Uttar Pradesh
Barabanki                             Uttar Pradesh
Bareilly                              Uttar Pradesh
Basti                                 Uttar Pradesh
Bijnor                                Uttar Pradesh
Budaun                                Uttar Pradesh
Bulandshahr                           Uttar Pradesh
Chandauli                             Uttar Pradesh
Chitrakoot                            Uttar Pradesh
Deoria                                Uttar Pradesh
Etah                                  Uttar Pradesh
Etawah                                Uttar Pradesh
Farrukhabad                           Uttar Pradesh
Fatehpur                              Uttar Pradesh
Firozabad                             Uttar Pradesh
Gautam Buddha Nagar                   Uttar Pradesh
Ghaziabad                             Uttar Pradesh
Ghazipur                              Uttar Pradesh
Gonda                                 Uttar Pradesh
Gorakhpur                             Uttar Pradesh
Hapur                                 Uttar Pradesh
Hardoi                                Uttar Pradesh
Hathras                               Uttar Pradesh
Jalaun                                Uttar Pradesh
Jaunpur                               Uttar Pradesh
Jhansi                                Uttar Pradesh
Kannauj                               Uttar Pradesh
Kanpur Dehat                          Uttar Pradesh
Kanpur Nagar                          Uttar Pradesh
Kashganj                              Uttar Pradesh
Kaushambi                             Uttar Pradesh
Kheri                                 Uttar Pradesh
Kushi Nagar                           Uttar Pradesh
Lalitpur                              Uttar Pradesh
Lucknow                               Uttar Pradesh
Maharajganj                           Uttar Pradesh
Mahoba                                Uttar Pradesh
Mainpuri                              Uttar Pradesh
Mathura                               Uttar Pradesh
Mau                                   Uttar Pradesh
Meerut                                Uttar Pradesh
Mirzapur                              Uttar Pradesh
Moradabad                             Uttar Pradesh
Muzaffarnagar                         Uttar Pradesh
Pilibhit                              Uttar Pradesh
Prayagraj                             Uttar Pradesh
Rae Bareli                            Uttar Pradesh
Rampur                                Uttar Pradesh
Saharanpur                            Uttar Pradesh
Sambhal                               Uttar Pradesh
Sant Kabeer Nagar                     Uttar Pradesh
Sant Ravidas Nagar                    Uttar Pradesh
Shahjahanpur                          Uttar Pradesh
Shamli                                Uttar Pradesh
Shravasti                             Uttar Pradesh
Sitapur                               Uttar Pradesh
Sonbhadra                             Uttar Pradesh
Sultanpur                             Uttar Pradesh
Unnao                                 Uttar Pradesh
Varanasi                              Uttar Pradesh
Almora                                Uttarakhand
Bageshwar                             Uttarakhand
Chamoli                               Uttarakhand
Champawat                             Uttarakhand
Dehradun                              Uttarakhand
Haridwar                              Uttarakhand
Nainital                              Uttarakhand
Pauri Garhwal                         Uttarakhand
Pithoragarh                           Uttarakhand
Rudra Prayag                          Uttarakhand
Tehri Garhwal                         Uttarakhand
Udam Singh Nagar                      Uttarakhand
Uttar Kashi                           Uttarakhand
24 Parganas (north)                   West Bengal
24 Parganas South                     West Bengal
Alipurduar                            West Bengal
Bankura                               West Bengal
Birbhum                               West Bengal
Coochbehar                            West Bengal
Darjeeling Gorkha Hill Council (dghc) West Bengal
Dinajpur Dakshin                      West Bengal
Dinajpur Uttar                        West Bengal
Hooghly                               West Bengal
Howrah                                West Bengal
Jalpaiguri                            West Bengal
Jhargram                              West Bengal
Kalimpong                             West Bengal
Maldah                                West Bengal
Murshidabad                           West Bengal
Nadia                                 West Bengal
Paschim Bardhaman                     West Bengal
Paschim Medinipur                     West Bengal
Purba Bardhaman                       West Bengal
Purba Medinipur                       West Bengal
Purulia                               West Bengal
Siliguri Mahakuma Parisad             West Bengal

